1,10,1143.54,234.78,17.15,16.08,1,4,1
1,9,1025.38,220.85,17.15,18.23,1,4,1
1,8,1008.22,349.50,24.78,20.37,1,4,1
1,7,979.64,330.20,24.78,11.79,1,4,1
1,6,958.67,445.98,36.21,28.95,1,4,1
1,5,943.42,222.99,20.96,15.01,1,4,1
1,4,848.13,496.37,45.74,40.74,1,4,1
1,3,834.79,380.59,34.31,32.16,1,4,1
1,2,806.20,363.43,34.31,28.95,1,4,1
1,1,798.57,731.15,72.42,78.26,1,4,1
2,12,1074.93,204.77,7.62,8.58,1,4,1
2,11,1017.75,207.98,13.34,15.01,1,4,1
2,10,1140.05,237.74,14.60,12.32,1,4,1
2,9,1034.24,220.69,14.66,18.53,1,4,1
2,8,1008.22,348.42,24.78,20.37,1,4,1
2,7,981.10,330.44,21.86,11.31,1,4,1
2,6,956.61,443.97,36.53,29.76,1,4,1
2,4,848.04,496.44,44.00,39.52,1,4,1
2,3,830.75,384.02,32.85,31.72,1,4,1
2,2,801.94,365.99,31.39,28.12,1,4,1
2,1,799.27,726.16,74.84,77.53,1,4,1
3,13,1031.10,219.77,11.44,20.37,1,4,1
3,10,1139.51,237.55,13.33,11.81,1,4,1
3,8,1006.12,347.54,23.61,20.00,1,4,1
3,7,980.44,331.00,21.38,10.18,1,4,1
3,6,956.19,441.95,35.34,29.58,1,4,1
3,5,934.16,221.74,24.24,16.43,1,4,1
3,4,844.87,494.29,44.85,39.73,1,4,1
3,3,823.51,386.36,34.21,33.48,1,4,1
3,2,795.21,368.75,31.63,27.89,1,4,1
3,1,794.42,720.42,77.60,77.27,1,4,1
4,14,1069.21,204.77,9.53,10.72,1,4,1
4,13,1029.57,221.37,12.58,19.33,1,4,1
4,10,1134.63,236.74,13.22,12.32,1,4,1
4,8,1001.64,346.18,25.15,20.57,1,4,1
4,6,958.04,440.51,34.62,29.04,1,4,1
4,5,932.81,220.27,24.25,17.46,1,4,1
4,4,847.06,493.89,42.77,38.02,1,4,1
4,3,820.56,390.01,33.18,32.62,1,4,1
4,2,792.05,371.38,31.04,28.02,1,4,1
4,1,797.39,715.52,76.78,76.17,1,4,1
5,14,1067.54,204.54,10.97,11.17,1,4,1
5,13,1025.76,221.62,12.92,18.95,1,4,1
5,10,1128.11,236.08,14.96,13.36,1,4,1
5,8,997.93,344.95,27.86,21.73,1,4,1
5,6,957.31,438.62,35.40,29.60,1,4,1
5,5,934.29,219.81,24.12,17.93,1,4,1
5,4,846.59,492.34,42.97,38.09,1,4,1
5,3,814.39,393.42,33.77,33.05,1,4,1
5,2,783.32,373.96,32.30,28.23,1,4,1
5,1,801.28,710.41,76.44,75.65,1,4,1
6,10,1121.48,235.35,15.23,13.97,1,4,1
6,8,1000.18,344.17,27.84,22.19,1,4,1
6,6,958.11,436.60,35.00,29.64,1,4,1
6,4,847.54,490.45,42.32,37.91,1,4,1
6,3,811.99,397.12,32.61,33.14,1,4,1
6,2,777.72,377.36,33.38,29.18,1,4,1
6,1,803.71,705.77,75.19,74.23,1,4,1
7,10,1119.53,234.86,15.21,13.94,1,4,1
7,8,1003.26,343.11,26.12,21.72,1,4,1
7,6,958.44,433.70,34.75,29.69,1,4,1
7,5,932.16,218.74,24.56,18.47,1,4,1
7,4,848.48,488.31,43.61,38.71,1,4,1
7,3,807.69,399.90,32.89,34.35,1,4,1
7,2,772.48,379.77,35.60,30.51,1,4,1
7,1,809.53,700.67,72.81,72.20,1,4,1
8,13,1024.99,222.60,13.23,18.51,1,4,1
8,10,1119.07,234.71,15.19,13.91,1,4,1
8,8,1004.63,342.83,25.02,21.47,1,4,1
8,6,961.04,432.48,33.65,28.81,1,4,1
8,5,931.33,217.93,24.31,18.85,1,4,1
8,4,851.06,486.73,43.56,38.58,1,4,1
8,3,803.04,403.30,34.39,35.55,1,4,1
8,2,766.68,383.36,36.89,31.18,1,4,1
8,1,812.02,695.72,72.22,71.62,1,4,1
9,13,1025.04,222.89,13.27,18.44,1,4,1
9,10,1117.11,234.54,16.54,14.17,1,4,1
9,8,1005.32,342.05,24.29,21.34,1,4,1
9,6,962.42,430.71,33.65,28.39,1,4,1
9,5,933.52,218.96,23.29,18.62,1,4,1
9,4,851.96,484.77,43.54,38.50,1,4,1
9,3,796.79,407.03,36.65,36.55,1,4,1
9,2,760.71,386.10,37.77,31.91,1,4,1
9,1,814.54,691.05,72.48,71.07,1,4,1
10,10,1114.72,234.53,16.79,14.17,1,4,1
10,8,1005.73,341.62,23.73,20.92,1,4,1
10,6,962.93,430.04,33.59,27.74,1,4,1
